,elapsed_time,size,iteration_n
0,0.0005285739898681,0,0
1,0.000401496887207,0,1
2,0.0003929138183593,0,2
3,0.0009412765502929,0,3
4,0.0004432201385498,0,4
5,0.0004751682281494,0,5
6,0.0004599094390869,0,6
7,0.0003218650817871,0,7
8,0.0002965927124023,0,8
9,0.0002956390380859,0,9
10,0.0004310607910156,0,10
11,0.0003807544708251,0,11
12,0.0003237724304199,0,12
13,0.0003113746643066,0,13
14,0.0002741813659667,0,14
15,0.0003340244293212,0,15
16,0.0003364086151123,0,16
17,0.000481367111206,0,17
18,0.0006055831909179,0,18
19,0.0005147457122802,0,19
20,0.0003530979156494,0,20
21,0.0002679824829101,0,21
22,0.0002272129058837,0,22
23,0.0002899169921875,0,23
24,0.000284194946289,0,24
25,0.0002851486206054,0,25
26,0.0003747940063476,0,26
27,0.0002532005310058,0,27
28,0.0002393722534179,0,28
29,0.0002696514129638,0,29
30,0.0003037452697753,0,30
31,0.0003128051757812,0,31
32,0.0002732276916503,1,0
33,0.0002655982971191,1,1
34,0.0003433227539062,1,2
35,0.0002257823944091,1,3
36,0.0003049373626708,1,4
37,0.0002286434173583,1,5
38,0.0002691745758056,1,6
39,0.0002777576446533,1,7
40,0.0002646446228027,1,8
41,0.0002689361572265,1,9
42,0.0002593994140625,1,10
43,0.0002827644348144,1,11
44,0.0004403591156005,1,12
45,0.0006051063537597,1,13
46,0.0004200935363769,1,14
47,0.0002717971801757,1,15
48,0.0002832412719726,1,16
49,0.0002822875976562,1,17
50,0.0002286434173583,1,18
51,0.000227928161621,1,19
52,0.0002453327178955,1,20
53,0.0002167224884033,1,21
54,0.0002784729003906,1,22
55,0.0003449916839599,1,23
56,0.0003068447113037,1,24
57,0.000307559967041,1,25
58,0.000321626663208,1,26
59,0.0004308223724365,1,27
60,0.0003836154937744,1,28
61,0.0004544258117675,1,29
62,0.0003442764282226,1,30
63,0.000436782836914,1,31
64,0.0003669261932373,2,0
65,0.0003602504730224,2,1
66,0.0004153251647949,2,2
67,0.0002892017364501,2,3
68,0.0002884864807128,2,4
69,0.0002758502960205,2,5
70,0.0003039836883544,2,6
71,0.0002923011779785,2,7
72,0.0002582073211669,2,8
73,0.0002858638763427,2,9
74,0.0002753734588623,2,10
75,0.0002632141113281,2,11
76,0.0003511905670166,2,12
77,0.0002801418304443,2,13
78,0.0003602504730224,2,14
79,0.0004758834838867,2,15
80,0.0003654956817626,2,16
81,0.0003676414489746,2,17
82,0.0003716945648193,2,18
83,0.000342845916748,2,19
84,0.0004098415374755,2,20
85,0.0004787445068359,2,21
86,0.0004029273986816,2,22
87,0.0003411769866943,2,23
88,0.0003726482391357,2,24
89,0.0003285408020019,2,25
90,0.0003848075866699,2,26
91,0.0003561973571777,2,27
92,0.0004262924194335,2,28
93,0.0005075931549072,2,29
94,0.0004076957702636,2,30
95,0.0012753009796142,2,31
96,0.0004124641418457,3,0
97,0.000361680984497,3,1
98,0.0004448890686035,3,2
99,0.0004105567932128,3,3
100,0.0003924369812011,3,4
101,0.0004727840423583,3,5
102,0.0003838539123535,3,6
103,0.0003647804260253,3,7
104,0.0002846717834472,3,8
105,0.0004084110260009,3,9
106,0.0003883838653564,3,10
107,0.0003473758697509,3,11
108,0.0003700256347656,3,12
109,0.0002946853637695,3,13
110,0.0009372234344482,3,14
111,0.0004050731658935,3,15
112,0.0003058910369873,3,16
113,0.0002601146697998,3,17
114,0.0002505779266357,3,18
115,0.0002703666687011,3,19
116,0.0003519058227539,3,20
117,0.0006029605865478,3,21
118,0.0005719661712646,3,22
119,0.0004122257232666,3,23
120,0.0004398822784423,3,24
121,0.0004327297210693,3,25
122,0.0004041194915771,3,26
123,0.0003588199615478,3,27
124,0.0003237724304199,3,28
125,0.0002944469451904,3,29
126,0.0002758502960205,3,30
127,0.0002675056457519,3,31
128,0.0003249645233154,4,0
129,0.0003218650817871,4,1
130,0.0002691745758056,4,2
131,0.000244140625,4,3
132,0.000246524810791,4,4
133,0.0004889965057373,4,5
134,0.0005514621734619,4,6
135,0.0006797313690185,4,7
136,0.000307559967041,4,8
137,0.0003085136413574,4,9
138,0.0003786087036132,4,10
139,0.0003037452697753,4,11
140,0.0003175735473632,4,12
141,0.0002665519714355,4,13
142,0.0002434253692626,4,14
143,0.0002408027648925,4,15
144,0.0002896785736083,4,16
145,0.0002377033233642,4,17
146,0.0002474784851074,4,18
147,0.0002868175506591,4,19
148,0.0002486705780029,4,20
149,0.0002522468566894,4,21
150,0.0003526210784912,4,22
151,0.0003461837768554,4,23
152,0.0004541873931884,4,24
153,0.0002729892730712,4,25
154,0.0003440380096435,4,26
155,0.0003221035003662,4,27
156,0.0003941059112548,4,28
157,0.0004494190216064,4,29
158,0.0003859996795654,4,30
159,0.0003166198730468,4,31
160,0.0004234313964843,5,0
161,0.0002856254577636,5,1
162,0.0002839565277099,5,2
163,0.0002624988555908,5,3
164,0.0002918243408203,5,4
165,0.000460147857666,5,5
166,0.0003848075866699,5,6
167,0.0003519058227539,5,7
168,0.0003011226654052,5,8
169,0.0002944469451904,5,9
170,0.0003159046173095,5,10
171,0.0002553462982177,5,11
172,0.0002493858337402,5,12
173,0.0002539157867431,5,13
174,0.0003013610839843,5,14
175,0.0002529621124267,5,15
176,0.0002527236938476,5,16
177,0.0002486705780029,5,17
178,0.0003473758697509,5,18
179,0.0002481937408447,5,19
180,0.0002524852752685,5,20
181,0.0002496242523193,5,21
182,0.0002593994140625,5,22
183,0.0003097057342529,5,23
184,0.0042216777801513,5,24
185,0.0004127025604248,5,25
186,0.0004706382751464,5,26
187,0.0003612041473388,5,27
188,0.0003180503845214,5,28
189,0.0003068447113037,5,29
190,0.0003080368041992,5,30
191,0.0003154277801513,5,31
192,0.0003507137298583,6,0
193,0.0002582073211669,6,1
194,0.0002789497375488,6,2
195,0.0002558231353759,6,3
196,0.0003228187561035,6,4
197,0.0003762245178222,6,5
198,0.0003943443298339,6,6
199,0.0003457069396972,6,7
200,0.0003104209899902,6,8
201,0.0002596378326416,6,9
202,0.0002503395080566,6,10
203,0.0002555847167968,6,11
204,0.0003271102905273,6,12
205,0.0002987384796142,6,13
206,0.0003149509429931,6,14
207,0.0002515316009521,6,15
208,0.0002892017364501,6,16
209,0.0059466361999511,6,17
210,0.0056731700897216,6,18
211,0.0004081726074218,6,19
212,0.0002803802490234,6,20
213,0.0003447532653808,6,21
214,0.0002892017364501,6,22
215,0.0002684593200683,6,23
216,0.0002520084381103,6,24
217,0.0003566741943359,6,25
218,0.0055222511291503,6,26
219,0.0003743171691894,6,27
220,0.0003337860107421,6,28
221,0.0003268718719482,6,29
222,0.0003261566162109,6,30
223,0.0003225803375244,6,31
224,0.0005083084106445,7,0
225,0.0002942085266113,7,1
226,0.0002930164337158,7,2
227,0.0003561973571777,7,3
228,0.0004191398620605,7,4
229,0.0003538131713867,7,5
230,0.0002989768981933,7,6
231,0.0002808570861816,7,7
232,0.0002877712249755,7,8
233,0.0002515316009521,7,9
234,0.0002458095550537,7,10
235,0.0002508163452148,7,11
236,0.0002577304840087,7,12
237,0.000251293182373,7,13
238,0.0002608299255371,7,14
239,0.0002923011779785,7,15
240,0.0002562999725341,7,16
241,0.000274658203125,7,17
242,0.0002586841583251,7,18
243,0.0002443790435791,7,19
244,0.0002708435058593,7,20
245,0.0003426074981689,7,21
246,0.0002720355987548,7,22
247,0.000312328338623,7,23
248,0.000368595123291,7,24
249,0.0003297328948974,7,25
250,0.0002896785736083,7,26
251,0.000307559967041,7,27
252,0.0003650188446044,7,28
253,0.0004284381866455,7,29
254,0.0004045963287353,7,30
255,0.0003397464752197,7,31
256,0.0004312992095947,8,0
257,0.0003156661987304,8,1
258,0.000331163406372,8,2
259,0.0003201961517333,8,3
260,0.000270128250122,8,4
261,0.0003769397735595,8,5
262,0.0003678798675537,8,6
263,0.0003647804260253,8,7
264,0.0003981590270996,8,8
265,0.0003497600555419,8,9
266,0.0003209114074707,8,10
267,0.0003297328948974,8,11
268,0.0002985000610351,8,12
269,0.000303030014038,8,13
270,0.0002522468566894,8,14
271,0.0002486705780029,8,15
272,0.0002515316009521,8,16
273,0.0002596378326416,8,17
274,0.0002937316894531,8,18
275,0.000246524810791,8,19
276,0.0002470016479492,8,20
277,0.0003664493560791,8,21
278,0.0004329681396484,8,22
279,0.0003159046173095,8,23
280,0.000317096710205,8,24
281,0.0002632141113281,8,25
282,0.0002377033233642,8,26
283,0.0002591609954833,8,27
284,0.0003833770751953,8,28
285,0.0003645420074462,8,29
286,0.0002753734588623,8,30
287,0.0002558231353759,8,31
288,0.000396728515625,9,0
289,0.0002498626708984,9,1
290,0.0003528594970703,9,2
291,0.0002655982971191,9,3
292,0.0002346038818359,9,4
293,0.0002379417419433,9,5
294,0.0004487037658691,9,6
295,0.0004792213439941,9,7
296,0.0003397464752197,9,8
297,0.0003020763397216,9,9
298,0.0002610683441162,9,10
299,0.0002577304840087,9,11
300,0.0003221035003662,9,12
301,0.000415563583374,9,13
302,0.0004289150238037,9,14
303,0.0004055500030517,9,15
304,0.0003564357757568,9,16
305,0.0003409385681152,9,17
306,0.0004277229309082,9,18
307,0.0004880428314208,9,19
308,0.0004222393035888,9,20
309,0.000439167022705,9,21
