Memory (MB),CPU Usage (%),CPU Time
Memory: 85 MB, CPU Usage: 47.2%, CPU Time: 07:28
Memory: 82 MB, CPU Usage: 47.2%, CPU Time: 07:29
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:30
Memory: 83 MB, CPU Usage: 47.2%, CPU Time: 07:31
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:32
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:33
Memory: 83 MB, CPU Usage: 47.2%, CPU Time: 07:34
Memory: 82 MB, CPU Usage: 47.2%, CPU Time: 07:35
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:36
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:37
Memory: 83 MB, CPU Usage: 47.2%, CPU Time: 07:38
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:39
Memory: 84 MB, CPU Usage: 47.2%, CPU Time: 07:40
Memory: 82 MB, CPU Usage: 47.3%, CPU Time: 07:41
Memory: 84 MB, CPU Usage: 47.3%, CPU Time: 07:42
Memory: 84 MB, CPU Usage: 47.3%, CPU Time: 07:43
Memory: 84 MB, CPU Usage: 47.3%, CPU Time: 07:44
Memory: 83 MB, CPU Usage: 47.3%, CPU Time: 07:45
Memory: 84 MB, CPU Usage: 47.3%, CPU Time: 07:46
Memory: 83 MB, CPU Usage: 47.3%, CPU Time: 07:47
Memory: 84 MB, CPU Usage: 47.4%, CPU Time: 07:48
Memory: 84 MB, CPU Usage: 47.4%, CPU Time: 07:49
Memory: 84 MB, CPU Usage: 47.5%, CPU Time: 07:50
Memory: 85 MB, CPU Usage: 47.5%, CPU Time: 07:52
Memory: 85 MB, CPU Usage: 47.6%, CPU Time: 07:53
Memory: 85 MB, CPU Usage: 47.6%, CPU Time: 07:54
Memory: 85 MB, CPU Usage: 47.7%, CPU Time: 07:55
Memory: 85 MB, CPU Usage: 47.7%, CPU Time: 07:56
Memory: 85 MB, CPU Usage: 47.8%, CPU Time: 07:57
Memory: 86 MB, CPU Usage: 47.8%, CPU Time: 07:58
Memory: 86 MB, CPU Usage: 47.9%, CPU Time: 07:59
Memory: 86 MB, CPU Usage: 47.9%, CPU Time: 08:00
Memory: 86 MB, CPU Usage: 48.0%, CPU Time: 08:01
Memory: 86 MB, CPU Usage: 48.0%, CPU Time: 08:02
Memory: 86 MB, CPU Usage: 48.1%, CPU Time: 08:03
Memory: 86 MB, CPU Usage: 48.2%, CPU Time: 08:04
Memory: 87 MB, CPU Usage: 48.2%, CPU Time: 08:05
Memory: 87 MB, CPU Usage: 48.3%, CPU Time: 08:06
Memory: 87 MB, CPU Usage: 48.3%, CPU Time: 08:07
Memory: 87 MB, CPU Usage: 48.4%, CPU Time: 08:08
Memory: 87 MB, CPU Usage: 48.4%, CPU Time: 08:09
Memory: 87 MB, CPU Usage: 48.5%, CPU Time: 08:10
Memory: 87 MB, CPU Usage: 48.5%, CPU Time: 08:11
Memory: 87 MB, CPU Usage: 48.6%, CPU Time: 08:12
Memory: 87 MB, CPU Usage: 48.6%, CPU Time: 08:13
Memory: 88 MB, CPU Usage: 48.7%, CPU Time: 08:14
Memory: 88 MB, CPU Usage: 48.7%, CPU Time: 08:15
Memory: 88 MB, CPU Usage: 48.8%, CPU Time: 08:16
Memory: 88 MB, CPU Usage: 48.8%, CPU Time: 08:17
Memory: 88 MB, CPU Usage: 48.9%, CPU Time: 08:19
Memory: 88 MB, CPU Usage: 48.9%, CPU Time: 08:20
Memory: 88 MB, CPU Usage: 49.0%, CPU Time: 08:21
Memory: 88 MB, CPU Usage: 49.0%, CPU Time: 08:22
Memory: 88 MB, CPU Usage: 49.1%, CPU Time: 08:23
Memory: 88 MB, CPU Usage: 49.1%, CPU Time: 08:24
Memory: 88 MB, CPU Usage: 49.2%, CPU Time: 08:25
Memory: 88 MB, CPU Usage: 49.2%, CPU Time: 08:26
Memory: 89 MB, CPU Usage: 49.3%, CPU Time: 08:27
Memory: 89 MB, CPU Usage: 49.3%, CPU Time: 08:28
Memory: 89 MB, CPU Usage: 49.4%, CPU Time: 08:29
Memory: 89 MB, CPU Usage: 49.4%, CPU Time: 08:30
Memory: 89 MB, CPU Usage: 49.5%, CPU Time: 08:31
Memory: 89 MB, CPU Usage: 49.5%, CPU Time: 08:32
Memory: 89 MB, CPU Usage: 49.5%, CPU Time: 08:33
Memory: 89 MB, CPU Usage: 49.6%, CPU Time: 08:34
Memory: 89 MB, CPU Usage: 49.6%, CPU Time: 08:35
Memory: 88 MB, CPU Usage: 49.7%, CPU Time: 08:36
Memory: 89 MB, CPU Usage: 49.7%, CPU Time: 08:37
Memory: 90 MB, CPU Usage: 49.8%, CPU Time: 08:38
Memory: 90 MB, CPU Usage: 49.8%, CPU Time: 08:39
Memory: 90 MB, CPU Usage: 49.9%, CPU Time: 08:40
Memory: 90 MB, CPU Usage: 49.9%, CPU Time: 08:41
Memory: 90 MB, CPU Usage: 50.0%, CPU Time: 08:42
Memory: 90 MB, CPU Usage: 50.0%, CPU Time: 08:43
Memory: 90 MB, CPU Usage: 50.1%, CPU Time: 08:44
Memory: 90 MB, CPU Usage: 50.1%, CPU Time: 08:45
Memory: 90 MB, CPU Usage: 50.2%, CPU Time: 08:47
Memory: 89 MB, CPU Usage: 50.2%, CPU Time: 08:48
Memory: 89 MB, CPU Usage: 50.2%, CPU Time: 08:49
Memory: 90 MB, CPU Usage: 50.3%, CPU Time: 08:50
Memory: 89 MB, CPU Usage: 50.3%, CPU Time: 08:51
Memory: 89 MB, CPU Usage: 50.4%, CPU Time: 08:52
Memory: 89 MB, CPU Usage: 50.4%, CPU Time: 08:53
Memory: 90 MB, CPU Usage: 50.5%, CPU Time: 08:54
Memory: 90 MB, CPU Usage: 50.5%, CPU Time: 08:55
Memory: 91 MB, CPU Usage: 50.6%, CPU Time: 08:56
Memory: 91 MB, CPU Usage: 50.6%, CPU Time: 08:57
Memory: 91 MB, CPU Usage: 50.6%, CPU Time: 08:58
Memory: 91 MB, CPU Usage: 50.7%, CPU Time: 08:59
Memory: 91 MB, CPU Usage: 50.7%, CPU Time: 09:00
Memory: 91 MB, CPU Usage: 50.8%, CPU Time: 09:01
Memory: 91 MB, CPU Usage: 50.8%, CPU Time: 09:02
Memory: 91 MB, CPU Usage: 50.9%, CPU Time: 09:03
Memory: 91 MB, CPU Usage: 50.9%, CPU Time: 09:04
Memory: 90 MB, CPU Usage: 51.0%, CPU Time: 09:05
Memory: 90 MB, CPU Usage: 51.0%, CPU Time: 09:06
Memory: 91 MB, CPU Usage: 51.0%, CPU Time: 09:07
Memory: 90 MB, CPU Usage: 51.1%, CPU Time: 09:08
Memory: 90 MB, CPU Usage: 51.1%, CPU Time: 09:09
Memory: 90 MB, CPU Usage: 51.2%, CPU Time: 09:10
Memory: 90 MB, CPU Usage: 51.2%, CPU Time: 09:11
Memory: 91 MB, CPU Usage: 51.2%, CPU Time: 09:12
Memory: 91 MB, CPU Usage: 51.3%, CPU Time: 09:14
Memory: 91 MB, CPU Usage: 51.3%, CPU Time: 09:15
Memory: 91 MB, CPU Usage: 51.4%, CPU Time: 09:16
Memory: 91 MB, CPU Usage: 51.4%, CPU Time: 09:17
Memory: 92 MB, CPU Usage: 51.5%, CPU Time: 09:18
Memory: 92 MB, CPU Usage: 51.5%, CPU Time: 09:19
Memory: 92 MB, CPU Usage: 51.5%, CPU Time: 09:20
Memory: 92 MB, CPU Usage: 51.6%, CPU Time: 09:21
Memory: 92 MB, CPU Usage: 51.6%, CPU Time: 09:22
Memory: 92 MB, CPU Usage: 51.7%, CPU Time: 09:23
Memory: 91 MB, CPU Usage: 51.7%, CPU Time: 09:24
Memory: 91 MB, CPU Usage: 51.7%, CPU Time: 09:25
Memory: 91 MB, CPU Usage: 51.8%, CPU Time: 09:26
Memory: 91 MB, CPU Usage: 51.8%, CPU Time: 09:27
Memory: 91 MB, CPU Usage: 51.9%, CPU Time: 09:28
Memory: 91 MB, CPU Usage: 51.9%, CPU Time: 09:29
Memory: 92 MB, CPU Usage: 51.9%, CPU Time: 09:30
Memory: 91 MB, CPU Usage: 52.0%, CPU Time: 09:31
Memory: 91 MB, CPU Usage: 52.0%, CPU Time: 09:32
Memory: 92 MB, CPU Usage: 52.1%, CPU Time: 09:33
Memory: 92 MB, CPU Usage: 52.1%, CPU Time: 09:34
Memory: 92 MB, CPU Usage: 52.1%, CPU Time: 09:35
Memory: 92 MB, CPU Usage: 52.2%, CPU Time: 09:36
Memory: 92 MB, CPU Usage: 52.2%, CPU Time: 09:37
Memory: 92 MB, CPU Usage: 52.2%, CPU Time: 09:38
Memory: 92 MB, CPU Usage: 52.3%, CPU Time: 09:39
Memory: 92 MB, CPU Usage: 52.3%, CPU Time: 09:41
Memory: 93 MB, CPU Usage: 52.4%, CPU Time: 09:42
Memory: 93 MB, CPU Usage: 52.4%, CPU Time: 09:43
Memory: 92 MB, CPU Usage: 52.4%, CPU Time: 09:44
Memory: 92 MB, CPU Usage: 52.5%, CPU Time: 09:45
Memory: 93 MB, CPU Usage: 52.5%, CPU Time: 09:46
Memory: 92 MB, CPU Usage: 52.5%, CPU Time: 09:47
Memory: 92 MB, CPU Usage: 52.6%, CPU Time: 09:48
Memory: 93 MB, CPU Usage: 52.6%, CPU Time: 09:49
Memory: 92 MB, CPU Usage: 52.7%, CPU Time: 09:50
Memory: 92 MB, CPU Usage: 52.7%, CPU Time: 09:51
Memory: 93 MB, CPU Usage: 52.7%, CPU Time: 09:52
Memory: 92 MB, CPU Usage: 52.8%, CPU Time: 09:53
Memory: 92 MB, CPU Usage: 52.8%, CPU Time: 09:54
Memory: 92 MB, CPU Usage: 52.8%, CPU Time: 09:55
Memory: 93 MB, CPU Usage: 52.9%, CPU Time: 09:56
Memory: 93 MB, CPU Usage: 52.9%, CPU Time: 09:57
Memory: 93 MB, CPU Usage: 53.0%, CPU Time: 09:58
Memory: 93 MB, CPU Usage: 53.0%, CPU Time: 09:59
Memory: 93 MB, CPU Usage: 53.0%, CPU Time: 10:00
Memory: 93 MB, CPU Usage: 53.1%, CPU Time: 10:01
Memory: 93 MB, CPU Usage: 53.1%, CPU Time: 10:02
Memory: 93 MB, CPU Usage: 53.1%, CPU Time: 10:03
Memory: 93 MB, CPU Usage: 53.2%, CPU Time: 10:04
Memory: 93 MB, CPU Usage: 53.2%, CPU Time: 10:05
Memory: 93 MB, CPU Usage: 53.2%, CPU Time: 10:06
Memory: 94 MB, CPU Usage: 53.3%, CPU Time: 10:07
Memory: 93 MB, CPU Usage: 53.3%, CPU Time: 10:09
Memory: 93 MB, CPU Usage: 53.3%, CPU Time: 10:10
Memory: 94 MB, CPU Usage: 53.4%, CPU Time: 10:11
Memory: 94 MB, CPU Usage: 53.4%, CPU Time: 10:12
Memory: 93 MB, CPU Usage: 53.4%, CPU Time: 10:13
Memory: 93 MB, CPU Usage: 53.5%, CPU Time: 10:14
Memory: 94 MB, CPU Usage: 53.5%, CPU Time: 10:15
Memory: 93 MB, CPU Usage: 53.5%, CPU Time: 10:16
Memory: 94 MB, CPU Usage: 53.6%, CPU Time: 10:17
Memory: 94 MB, CPU Usage: 53.6%, CPU Time: 10:18
Memory: 93 MB, CPU Usage: 53.6%, CPU Time: 10:19
Memory: 93 MB, CPU Usage: 53.7%, CPU Time: 10:20
Memory: 93 MB, CPU Usage: 53.7%, CPU Time: 10:21
Memory: 94 MB, CPU Usage: 53.7%, CPU Time: 10:22
Memory: 93 MB, CPU Usage: 53.8%, CPU Time: 10:23
Memory: 93 MB, CPU Usage: 53.8%, CPU Time: 10:24
Memory: 93 MB, CPU Usage: 53.8%, CPU Time: 10:25
Memory: 94 MB, CPU Usage: 53.9%, CPU Time: 10:26
Memory: 94 MB, CPU Usage: 53.9%, CPU Time: 10:27
Memory: 94 MB, CPU Usage: 53.9%, CPU Time: 10:28
Memory: 94 MB, CPU Usage: 54.0%, CPU Time: 10:29
Memory: 94 MB, CPU Usage: 54.0%, CPU Time: 10:30
Memory: 94 MB, CPU Usage: 54.0%, CPU Time: 10:31
Memory: 94 MB, CPU Usage: 54.1%, CPU Time: 10:32
Memory: 94 MB, CPU Usage: 54.1%, CPU Time: 10:33
Memory: 94 MB, CPU Usage: 54.1%, CPU Time: 10:34
Memory: 94 MB, CPU Usage: 54.2%, CPU Time: 10:36
Memory: 94 MB, CPU Usage: 54.2%, CPU Time: 10:37
Memory: 94 MB, CPU Usage: 54.2%, CPU Time: 10:38
Memory: 94 MB, CPU Usage: 54.3%, CPU Time: 10:39
Memory: 94 MB, CPU Usage: 54.3%, CPU Time: 10:40
Memory: 94 MB, CPU Usage: 54.3%, CPU Time: 10:41
Memory: 95 MB, CPU Usage: 54.4%, CPU Time: 10:42
Memory: 94 MB, CPU Usage: 54.4%, CPU Time: 10:43
Memory: 94 MB, CPU Usage: 54.4%, CPU Time: 10:44
Memory: 94 MB, CPU Usage: 54.5%, CPU Time: 10:45
Memory: 94 MB, CPU Usage: 54.5%, CPU Time: 10:46
Memory: 94 MB, CPU Usage: 54.5%, CPU Time: 10:47
Memory: 94 MB, CPU Usage: 54.5%, CPU Time: 10:48
Memory: 94 MB, CPU Usage: 54.6%, CPU Time: 10:49
Memory: 94 MB, CPU Usage: 54.6%, CPU Time: 10:50
Memory: 94 MB, CPU Usage: 54.6%, CPU Time: 10:51
Memory: 94 MB, CPU Usage: 54.7%, CPU Time: 10:52
Memory: 94 MB, CPU Usage: 54.7%, CPU Time: 10:53
Memory: 94 MB, CPU Usage: 54.7%, CPU Time: 10:54
Memory: 94 MB, CPU Usage: 54.8%, CPU Time: 10:55
Memory: 94 MB, CPU Usage: 54.8%, CPU Time: 10:56
Memory: 94 MB, CPU Usage: 54.8%, CPU Time: 10:57
Memory: 94 MB, CPU Usage: 54.8%, CPU Time: 10:58
Memory: 94 MB, CPU Usage: 54.9%, CPU Time: 10:59
Memory: 95 MB, CPU Usage: 54.9%, CPU Time: 11:00
Memory: 95 MB, CPU Usage: 54.9%, CPU Time: 11:01
Memory: 95 MB, CPU Usage: 55.0%, CPU Time: 11:03
Memory: 95 MB, CPU Usage: 55.0%, CPU Time: 11:04
Memory: 95 MB, CPU Usage: 55.0%, CPU Time: 11:05
Memory: 95 MB, CPU Usage: 55.1%, CPU Time: 11:06
Memory: 95 MB, CPU Usage: 55.1%, CPU Time: 11:07
Memory: 95 MB, CPU Usage: 55.1%, CPU Time: 11:08
Memory: 95 MB, CPU Usage: 55.1%, CPU Time: 11:09
Memory: 95 MB, CPU Usage: 55.2%, CPU Time: 11:10
Memory: 95 MB, CPU Usage: 55.2%, CPU Time: 11:11
Memory: 95 MB, CPU Usage: 55.2%, CPU Time: 11:12
Memory: 95 MB, CPU Usage: 55.3%, CPU Time: 11:13
Memory: 95 MB, CPU Usage: 55.3%, CPU Time: 11:14
Memory: 95 MB, CPU Usage: 55.3%, CPU Time: 11:15
Memory: 96 MB, CPU Usage: 55.3%, CPU Time: 11:16
Memory: 96 MB, CPU Usage: 55.4%, CPU Time: 11:17
Memory: 95 MB, CPU Usage: 55.4%, CPU Time: 11:18
Memory: 95 MB, CPU Usage: 55.4%, CPU Time: 11:19
Memory: 95 MB, CPU Usage: 55.4%, CPU Time: 11:20
Memory: 96 MB, CPU Usage: 55.5%, CPU Time: 11:21
Memory: 95 MB, CPU Usage: 55.5%, CPU Time: 11:22
Memory: 95 MB, CPU Usage: 55.5%, CPU Time: 11:23
Memory: 96 MB, CPU Usage: 55.6%, CPU Time: 11:24
Memory: 95 MB, CPU Usage: 55.6%, CPU Time: 11:25
Memory: 95 MB, CPU Usage: 55.6%, CPU Time: 11:26
Memory: 95 MB, CPU Usage: 55.6%, CPU Time: 11:27
Memory: 95 MB, CPU Usage: 55.7%, CPU Time: 11:28
Memory: 95 MB, CPU Usage: 55.7%, CPU Time: 11:29
Memory: 95 MB, CPU Usage: 55.7%, CPU Time: 11:31
Memory: 95 MB, CPU Usage: 55.8%, CPU Time: 11:32
Memory: 95 MB, CPU Usage: 55.8%, CPU Time: 11:33
Memory: 95 MB, CPU Usage: 55.8%, CPU Time: 11:34
Memory: 95 MB, CPU Usage: 55.8%, CPU Time: 11:35
Memory: 95 MB, CPU Usage: 55.9%, CPU Time: 11:36
Memory: 95 MB, CPU Usage: 55.9%, CPU Time: 11:37
Memory: 96 MB, CPU Usage: 55.9%, CPU Time: 11:38
Memory: 96 MB, CPU Usage: 55.9%, CPU Time: 11:39
Memory: 96 MB, CPU Usage: 56.0%, CPU Time: 11:40
Memory: 96 MB, CPU Usage: 56.0%, CPU Time: 11:41
Memory: 96 MB, CPU Usage: 56.0%, CPU Time: 11:42
Memory: 96 MB, CPU Usage: 56.0%, CPU Time: 11:43
Memory: 96 MB, CPU Usage: 56.1%, CPU Time: 11:44
Memory: 96 MB, CPU Usage: 56.1%, CPU Time: 11:45
Memory: 96 MB, CPU Usage: 56.1%, CPU Time: 11:46
Memory: 96 MB, CPU Usage: 56.1%, CPU Time: 11:47
Memory: 96 MB, CPU Usage: 56.2%, CPU Time: 11:48
Memory: 96 MB, CPU Usage: 56.2%, CPU Time: 11:49
Memory: 96 MB, CPU Usage: 56.2%, CPU Time: 11:50
Memory: 96 MB, CPU Usage: 56.2%, CPU Time: 11:51
Memory: 96 MB, CPU Usage: 56.3%, CPU Time: 11:52
Memory: 96 MB, CPU Usage: 56.3%, CPU Time: 11:53
Memory: 96 MB, CPU Usage: 56.3%, CPU Time: 11:54
Memory: 96 MB, CPU Usage: 56.3%, CPU Time: 11:55
Memory: 96 MB, CPU Usage: 56.4%, CPU Time: 11:56
Memory: 96 MB, CPU Usage: 56.4%, CPU Time: 11:58
Memory: 96 MB, CPU Usage: 56.4%, CPU Time: 11:59
Memory: 96 MB, CPU Usage: 56.4%, CPU Time: 12:00
Memory: 96 MB, CPU Usage: 56.5%, CPU Time: 12:01
Memory: 96 MB, CPU Usage: 56.5%, CPU Time: 12:02
Memory: 96 MB, CPU Usage: 56.5%, CPU Time: 12:03
Memory: 96 MB, CPU Usage: 56.5%, CPU Time: 12:04
Memory: 96 MB, CPU Usage: 56.6%, CPU Time: 12:05
Memory: 96 MB, CPU Usage: 56.6%, CPU Time: 12:06
Memory: 96 MB, CPU Usage: 56.6%, CPU Time: 12:07
Memory: 96 MB, CPU Usage: 56.6%, CPU Time: 12:08
Memory: 96 MB, CPU Usage: 56.7%, CPU Time: 12:09
Memory: 96 MB, CPU Usage: 56.7%, CPU Time: 12:10
Memory: 96 MB, CPU Usage: 56.7%, CPU Time: 12:11
Memory: 96 MB, CPU Usage: 56.7%, CPU Time: 12:12
Memory: 96 MB, CPU Usage: 56.8%, CPU Time: 12:13
Memory: 96 MB, CPU Usage: 56.8%, CPU Time: 12:14
Memory: 97 MB, CPU Usage: 56.8%, CPU Time: 12:15
Memory: 97 MB, CPU Usage: 56.8%, CPU Time: 12:16
Memory: 97 MB, CPU Usage: 56.9%, CPU Time: 12:17
Memory: 97 MB, CPU Usage: 56.9%, CPU Time: 12:18
Memory: 97 MB, CPU Usage: 56.9%, CPU Time: 12:19
Memory: 97 MB, CPU Usage: 56.9%, CPU Time: 12:20
Memory: 97 MB, CPU Usage: 57.0%, CPU Time: 12:21
Memory: 97 MB, CPU Usage: 57.0%, CPU Time: 12:22
Memory: 97 MB, CPU Usage: 57.0%, CPU Time: 12:23
Memory: 97 MB, CPU Usage: 57.0%, CPU Time: 12:24
Memory: 97 MB, CPU Usage: 57.1%, CPU Time: 12:26
Memory: 97 MB, CPU Usage: 57.1%, CPU Time: 12:27
Memory: 97 MB, CPU Usage: 57.1%, CPU Time: 12:28
Memory: 97 MB, CPU Usage: 57.1%, CPU Time: 12:29
Memory: 97 MB, CPU Usage: 57.1%, CPU Time: 12:30
Memory: 97 MB, CPU Usage: 57.2%, CPU Time: 12:31
Memory: 97 MB, CPU Usage: 57.2%, CPU Time: 12:32
Memory: 97 MB, CPU Usage: 57.2%, CPU Time: 12:33
Memory: 98 MB, CPU Usage: 57.2%, CPU Time: 12:34
Memory: 98 MB, CPU Usage: 57.3%, CPU Time: 12:35
Memory: 98 MB, CPU Usage: 57.3%, CPU Time: 12:36
Memory: 98 MB, CPU Usage: 57.3%, CPU Time: 12:37
Memory: 97 MB, CPU Usage: 57.3%, CPU Time: 12:38
Memory: 97 MB, CPU Usage: 57.3%, CPU Time: 12:39
Memory: 97 MB, CPU Usage: 57.4%, CPU Time: 12:40
Memory: 97 MB, CPU Usage: 57.4%, CPU Time: 12:41
Memory: 97 MB, CPU Usage: 57.4%, CPU Time: 12:42
Memory: 97 MB, CPU Usage: 57.4%, CPU Time: 12:43
Memory: 97 MB, CPU Usage: 57.5%, CPU Time: 12:44
Memory: 97 MB, CPU Usage: 57.5%, CPU Time: 12:45
Memory: 97 MB, CPU Usage: 57.5%, CPU Time: 12:46
Memory: 97 MB, CPU Usage: 57.5%, CPU Time: 12:47
Memory: 97 MB, CPU Usage: 57.5%, CPU Time: 12:48
Memory: 97 MB, CPU Usage: 57.6%, CPU Time: 12:49
Memory: 97 MB, CPU Usage: 57.6%, CPU Time: 12:50
Memory: 98 MB, CPU Usage: 57.6%, CPU Time: 12:51
Memory: 97 MB, CPU Usage: 57.6%, CPU Time: 12:52
Memory: 97 MB, CPU Usage: 57.7%, CPU Time: 12:54
Memory: 97 MB, CPU Usage: 57.7%, CPU Time: 12:55
Memory: 98 MB, CPU Usage: 57.7%, CPU Time: 12:56
Memory: 98 MB, CPU Usage: 57.7%, CPU Time: 12:57
Memory: 98 MB, CPU Usage: 57.7%, CPU Time: 12:58
Memory: 98 MB, CPU Usage: 57.8%, CPU Time: 12:59
Memory: 98 MB, CPU Usage: 57.8%, CPU Time: 13:00
Memory: 98 MB, CPU Usage: 57.8%, CPU Time: 13:01
Memory: 98 MB, CPU Usage: 57.8%, CPU Time: 13:02
Memory: 98 MB, CPU Usage: 57.8%, CPU Time: 13:03
Memory: 98 MB, CPU Usage: 57.9%, CPU Time: 13:04
Memory: 98 MB, CPU Usage: 57.9%, CPU Time: 13:05
Memory: 98 MB, CPU Usage: 57.9%, CPU Time: 13:06
Memory: 98 MB, CPU Usage: 57.9%, CPU Time: 13:07
Memory: 98 MB, CPU Usage: 58.0%, CPU Time: 13:08
Memory: 97 MB, CPU Usage: 58.0%, CPU Time: 13:09
Memory: 97 MB, CPU Usage: 58.0%, CPU Time: 13:10
Memory: 97 MB, CPU Usage: 58.0%, CPU Time: 13:11
Memory: 97 MB, CPU Usage: 58.0%, CPU Time: 13:12
Memory: 97 MB, CPU Usage: 58.1%, CPU Time: 13:13
Memory: 97 MB, CPU Usage: 58.1%, CPU Time: 13:14
Memory: 97 MB, CPU Usage: 58.1%, CPU Time: 13:15
Memory: 97 MB, CPU Usage: 58.1%, CPU Time: 13:16
Memory: 98 MB, CPU Usage: 58.1%, CPU Time: 13:17
Memory: 99 MB, CPU Usage: 58.2%, CPU Time: 13:18
Memory: 98 MB, CPU Usage: 58.2%, CPU Time: 13:19
Memory: 98 MB, CPU Usage: 58.2%, CPU Time: 13:20
Memory: 98 MB, CPU Usage: 58.2%, CPU Time: 13:22
Memory: 98 MB, CPU Usage: 58.2%, CPU Time: 13:23
Memory: 98 MB, CPU Usage: 58.3%, CPU Time: 13:24
Memory: 98 MB, CPU Usage: 58.3%, CPU Time: 13:25
Memory: 98 MB, CPU Usage: 58.3%, CPU Time: 13:26
Memory: 98 MB, CPU Usage: 58.3%, CPU Time: 13:27
Memory: 98 MB, CPU Usage: 58.3%, CPU Time: 13:28
Memory: 98 MB, CPU Usage: 58.4%, CPU Time: 13:29
Memory: 98 MB, CPU Usage: 58.4%, CPU Time: 13:30
Memory: 99 MB, CPU Usage: 58.4%, CPU Time: 13:31
Memory: 99 MB, CPU Usage: 58.4%, CPU Time: 13:32
Memory: 99 MB, CPU Usage: 58.4%, CPU Time: 13:33
Memory: 99 MB, CPU Usage: 58.5%, CPU Time: 13:34
Memory: 98 MB, CPU Usage: 58.5%, CPU Time: 13:35
Memory: 99 MB, CPU Usage: 58.5%, CPU Time: 13:36
Memory: 99 MB, CPU Usage: 58.5%, CPU Time: 13:37
Memory: 99 MB, CPU Usage: 58.5%, CPU Time: 13:38
Memory: 99 MB, CPU Usage: 58.6%, CPU Time: 13:39
Memory: 99 MB, CPU Usage: 58.6%, CPU Time: 13:40
Memory: 99 MB, CPU Usage: 58.6%, CPU Time: 13:41
Memory: 99 MB, CPU Usage: 58.6%, CPU Time: 13:42
Memory: 99 MB, CPU Usage: 58.6%, CPU Time: 13:43
Memory: 99 MB, CPU Usage: 58.7%, CPU Time: 13:44
Memory: 99 MB, CPU Usage: 58.7%, CPU Time: 13:45
Memory: 99 MB, CPU Usage: 58.7%, CPU Time: 13:46
Memory: 98 MB, CPU Usage: 58.7%, CPU Time: 13:48
Memory: 99 MB, CPU Usage: 58.7%, CPU Time: 13:49
Memory: 98 MB, CPU Usage: 58.7%, CPU Time: 13:50
Memory: 98 MB, CPU Usage: 58.8%, CPU Time: 13:51
Memory: 98 MB, CPU Usage: 58.8%, CPU Time: 13:52
Memory: 99 MB, CPU Usage: 58.8%, CPU Time: 13:53
Memory: 98 MB, CPU Usage: 58.8%, CPU Time: 13:54
Memory: 98 MB, CPU Usage: 58.8%, CPU Time: 13:55
Memory: 98 MB, CPU Usage: 58.9%, CPU Time: 13:56
Memory: 98 MB, CPU Usage: 58.9%, CPU Time: 13:57
Memory: 98 MB, CPU Usage: 58.9%, CPU Time: 13:58
Memory: 99 MB, CPU Usage: 58.9%, CPU Time: 13:59
Memory: 98 MB, CPU Usage: 58.9%, CPU Time: 14:00
Memory: 98 MB, CPU Usage: 59.0%, CPU Time: 14:01
Memory: 98 MB, CPU Usage: 59.0%, CPU Time: 14:02
Memory: 98 MB, CPU Usage: 59.0%, CPU Time: 14:03
Memory: 100 MB, CPU Usage: 59.0%, CPU Time: 14:04
Memory: 100 MB, CPU Usage: 59.0%, CPU Time: 14:05
Memory: 100 MB, CPU Usage: 59.0%, CPU Time: 14:06
Memory: 100 MB, CPU Usage: 59.1%, CPU Time: 14:07
Memory: 100 MB, CPU Usage: 59.1%, CPU Time: 14:08
Memory: 99 MB, CPU Usage: 59.1%, CPU Time: 14:09
Memory: 100 MB, CPU Usage: 59.1%, CPU Time: 14:10
Memory: 100 MB, CPU Usage: 59.1%, CPU Time: 14:11
Memory: 100 MB, CPU Usage: 59.2%, CPU Time: 14:12
Memory: 99 MB, CPU Usage: 59.2%, CPU Time: 14:13
Memory: 99 MB, CPU Usage: 59.2%, CPU Time: 14:14
Memory: 100 MB, CPU Usage: 59.2%, CPU Time: 14:16
Memory: 100 MB, CPU Usage: 59.2%, CPU Time: 14:17
Memory: 100 MB, CPU Usage: 59.2%, CPU Time: 14:18
Memory: 100 MB, CPU Usage: 59.3%, CPU Time: 14:19
Memory: 100 MB, CPU Usage: 59.3%, CPU Time: 14:20
Memory: 100 MB, CPU Usage: 59.3%, CPU Time: 14:21
Memory: 100 MB, CPU Usage: 59.3%, CPU Time: 14:22
Memory: 100 MB, CPU Usage: 59.3%, CPU Time: 14:23
Memory: 100 MB, CPU Usage: 59.4%, CPU Time: 14:24
Memory: 100 MB, CPU Usage: 59.4%, CPU Time: 14:25
Memory: 100 MB, CPU Usage: 59.4%, CPU Time: 14:26
Memory: 99 MB, CPU Usage: 59.4%, CPU Time: 14:27
Memory: 99 MB, CPU Usage: 59.4%, CPU Time: 14:28
Memory: 99 MB, CPU Usage: 59.4%, CPU Time: 14:29
Memory: 99 MB, CPU Usage: 59.5%, CPU Time: 14:30
Memory: 99 MB, CPU Usage: 59.5%, CPU Time: 14:31
Memory: 99 MB, CPU Usage: 59.5%, CPU Time: 14:32
Memory: 99 MB, CPU Usage: 59.5%, CPU Time: 14:33
