,elapsed_time,size,iteration_n
0,0.000772476196289,0,0
1,0.0002939701080322,0,1
2,0.0003447532653808,0,2
3,0.0003027915954589,0,3
4,0.000291109085083,0,4
5,0.0081744194030761,0,5
6,0.0004289150238037,0,6
7,0.0004124641418457,0,7
8,0.00040864944458,0,8
9,0.0003759860992431,0,9
10,0.0003666877746582,0,10
11,0.0003609657287597,0,11
12,0.0004193782806396,0,12
13,0.0003843307495117,0,13
14,0.0003087520599365,0,14
15,0.0002696514129638,0,15
16,0.000244140625,0,16
17,0.0002398490905761,0,17
18,0.0002291202545166,0,18
19,0.000218391418457,0,19
20,0.0002162456512451,0,20
21,0.0002126693725585,0,21
22,0.0002391338348388,0,22
23,0.0002291202545166,0,23
24,0.0002245903015136,0,24
25,0.0002729892730712,0,25
26,0.0003089904785156,0,26
27,0.0002806186676025,0,27
28,0.000300645828247,0,28
29,0.000284194946289,0,29
30,0.0002636909484863,0,30
31,0.0002493858337402,0,31
32,0.0009834766387939,206,0
33,0.0009036064147949,206,1
34,0.0008471012115478,206,2
35,0.0008199214935302,206,3
36,0.0009224414825439,206,4
37,0.0008184909820556,206,5
38,0.0009489059448242,206,6
39,0.0010037422180175,206,7
40,0.0008819103240966,206,8
41,0.0013513565063476,206,9
42,0.0010910034179687,206,10
43,0.0009465217590332,206,11
44,0.0008156299591064,206,12
45,0.0008242130279541,206,13
46,0.0008416175842285,206,14
47,0.0010285377502441,206,15
48,0.0012710094451904,206,16
49,0.0012550354003906,206,17
50,0.0008871555328369,206,18
51,0.0008807182312011,206,19
52,0.0007939338684082,206,20
53,0.0007672309875488,206,21
54,0.0007667541503906,206,22
55,0.0007753372192382,206,23
56,0.001014232635498,206,24
57,0.0009241104125976,206,25
58,0.0011279582977294,206,26
59,0.0018718242645263,206,27
60,0.001932144165039,206,28
61,0.0019307136535644,206,29
62,0.0029113292694091,206,30
63,0.0042328834533691,206,31
64,0.0028121471405029,412,0
65,0.0027263164520263,412,1
66,0.0025815963745117,412,2
67,0.0019798278808593,412,3
68,0.0016844272613525,412,4
69,0.0018062591552734,412,5
70,0.001664400100708,412,6
71,0.0014731884002685,412,7
72,0.0012526512145996,412,8
73,0.0015642642974853,412,9
74,0.0018219947814941,412,10
75,0.0013527870178222,412,11
76,0.0013415813446044,412,12
77,0.0012216567993164,412,13
78,0.0013277530670166,412,14
79,0.0012726783752441,412,15
80,0.0012626647949218,412,16
81,0.0015590190887451,412,17
82,0.0019981861114502,412,18
83,0.001544713973999,412,19
84,0.0014636516571044,412,20
85,0.0013670921325683,412,21
86,0.001359224319458,412,22
87,0.0015041828155517,412,23
88,0.0013768672943115,412,24
89,0.0017311573028564,412,25
90,0.0013923645019531,412,26
91,0.0012686252593994,412,27
92,0.0013182163238525,412,28
93,0.0012521743774414,412,29
94,0.0013198852539062,412,30
95,0.0012555122375488,412,31
96,0.0017611980438232,618,0
97,0.0019400119781494,618,1
98,0.0019307136535644,618,2
99,0.001908540725708,618,3
100,0.0020835399627685,618,4
101,0.0022287368774414,618,5
102,0.0018296241760253,618,6
103,0.0021865367889404,618,7
104,0.0023024082183837,618,8
105,0.0017883777618408,618,9
106,0.0016717910766601,618,10
107,0.0016751289367675,618,11
108,0.0019412040710449,618,12
109,0.0020725727081298,618,13
110,0.0020978450775146,618,14
111,0.0016725063323974,618,15
112,0.0017840862274169,618,16
113,0.0019111633300781,618,17
114,0.0017032623291015,618,18
115,0.0017111301422119,618,19
116,0.0017764568328857,618,20
117,0.0017123222351074,618,21
118,0.0016639232635498,618,22
119,0.0016725063323974,618,23
120,0.0016899108886718,618,24
121,0.0016911029815673,618,25
122,0.0017197132110595,618,26
123,0.0017244815826416,618,27
124,0.0016670227050781,618,28
125,0.0016796588897705,618,29
126,0.0017380714416503,618,30
127,0.0016717910766601,618,31
128,0.0021536350250244,824,0
