Memory (MB),CPU Usage (%),CPU Time
Memory: 110 MB, CPU Usage: 51.5%, CPU Time: 03:44
Memory: 113 MB, CPU Usage: 51.5%, CPU Time: 03:45
Memory: 107 MB, CPU Usage: 51.5%, CPU Time: 03:46
Memory: 110 MB, CPU Usage: 51.6%, CPU Time: 03:47
Memory: 114 MB, CPU Usage: 51.6%, CPU Time: 03:49
Memory: 114 MB, CPU Usage: 51.6%, CPU Time: 03:50
Memory: 104 MB, CPU Usage: 51.7%, CPU Time: 03:51
Memory: 114 MB, CPU Usage: 51.7%, CPU Time: 03:52
Memory: 104 MB, CPU Usage: 51.8%, CPU Time: 03:53
Memory: 114 MB, CPU Usage: 51.8%, CPU Time: 03:54
Memory: 111 MB, CPU Usage: 51.9%, CPU Time: 03:55
Memory: 115 MB, CPU Usage: 51.9%, CPU Time: 03:56
Memory: 107 MB, CPU Usage: 52.0%, CPU Time: 03:57
Memory: 107 MB, CPU Usage: 52.0%, CPU Time: 03:58
Memory: 112 MB, CPU Usage: 52.1%, CPU Time: 03:59
Memory: 107 MB, CPU Usage: 52.1%, CPU Time: 04:00
Memory: 111 MB, CPU Usage: 52.2%, CPU Time: 04:01
Memory: 115 MB, CPU Usage: 52.2%, CPU Time: 04:02
Memory: 115 MB, CPU Usage: 52.3%, CPU Time: 04:03
Memory: 112 MB, CPU Usage: 52.3%, CPU Time: 04:04
Memory: 115 MB, CPU Usage: 52.3%, CPU Time: 04:05
Memory: 108 MB, CPU Usage: 52.4%, CPU Time: 04:07
Memory: 108 MB, CPU Usage: 52.4%, CPU Time: 04:08
Memory: 108 MB, CPU Usage: 52.4%, CPU Time: 04:09
Memory: 119 MB, CPU Usage: 52.5%, CPU Time: 04:10
Memory: 112 MB, CPU Usage: 52.5%, CPU Time: 04:11
Memory: 112 MB, CPU Usage: 52.6%, CPU Time: 04:12
Memory: 112 MB, CPU Usage: 52.6%, CPU Time: 04:13
Memory: 108 MB, CPU Usage: 52.6%, CPU Time: 04:14
Memory: 109 MB, CPU Usage: 52.7%, CPU Time: 04:15
Memory: 105 MB, CPU Usage: 52.7%, CPU Time: 04:16
Memory: 113 MB, CPU Usage: 52.8%, CPU Time: 04:17
Memory: 114 MB, CPU Usage: 52.8%, CPU Time: 04:18
Memory: 114 MB, CPU Usage: 52.8%, CPU Time: 04:19
Memory: 117 MB, CPU Usage: 52.8%, CPU Time: 04:20
Memory: 122 MB, CPU Usage: 52.8%, CPU Time: 04:21
Memory: 114 MB, CPU Usage: 52.8%, CPU Time: 04:22
Memory: 121 MB, CPU Usage: 52.8%, CPU Time: 04:23
Memory: 122 MB, CPU Usage: 52.9%, CPU Time: 04:24
Memory: 122 MB, CPU Usage: 53.1%, CPU Time: 04:25
Memory: 122 MB, CPU Usage: 53.2%, CPU Time: 04:27
Memory: 123 MB, CPU Usage: 53.4%, CPU Time: 04:28
Memory: 123 MB, CPU Usage: 53.5%, CPU Time: 04:29
Memory: 123 MB, CPU Usage: 53.6%, CPU Time: 04:30
Memory: 123 MB, CPU Usage: 53.8%, CPU Time: 04:31
Memory: 123 MB, CPU Usage: 53.9%, CPU Time: 04:32
Memory: 124 MB, CPU Usage: 54.0%, CPU Time: 04:33
Memory: 124 MB, CPU Usage: 54.2%, CPU Time: 04:34
Memory: 123 MB, CPU Usage: 54.3%, CPU Time: 04:35
Memory: 124 MB, CPU Usage: 54.5%, CPU Time: 04:36
Memory: 124 MB, CPU Usage: 54.6%, CPU Time: 04:37
Memory: 124 MB, CPU Usage: 54.7%, CPU Time: 04:38
Memory: 124 MB, CPU Usage: 54.9%, CPU Time: 04:39
Memory: 125 MB, CPU Usage: 55.0%, CPU Time: 04:40
Memory: 124 MB, CPU Usage: 55.1%, CPU Time: 04:41
Memory: 124 MB, CPU Usage: 55.3%, CPU Time: 04:42
Memory: 124 MB, CPU Usage: 55.4%, CPU Time: 04:43
Memory: 125 MB, CPU Usage: 55.5%, CPU Time: 04:44
Memory: 124 MB, CPU Usage: 55.7%, CPU Time: 04:45
Memory: 125 MB, CPU Usage: 55.8%, CPU Time: 04:46
Memory: 125 MB, CPU Usage: 55.9%, CPU Time: 04:47
Memory: 125 MB, CPU Usage: 56.0%, CPU Time: 04:49
Memory: 125 MB, CPU Usage: 56.2%, CPU Time: 04:50
Memory: 125 MB, CPU Usage: 56.3%, CPU Time: 04:51
Memory: 125 MB, CPU Usage: 56.4%, CPU Time: 04:52
Memory: 126 MB, CPU Usage: 56.5%, CPU Time: 04:53
Memory: 126 MB, CPU Usage: 56.7%, CPU Time: 04:54
Memory: 125 MB, CPU Usage: 56.8%, CPU Time: 04:55
Memory: 125 MB, CPU Usage: 56.9%, CPU Time: 04:56
Memory: 125 MB, CPU Usage: 57.0%, CPU Time: 04:57
Memory: 125 MB, CPU Usage: 57.1%, CPU Time: 04:58
Memory: 126 MB, CPU Usage: 57.3%, CPU Time: 04:59
Memory: 125 MB, CPU Usage: 57.4%, CPU Time: 05:00
Memory: 125 MB, CPU Usage: 57.5%, CPU Time: 05:01
Memory: 125 MB, CPU Usage: 57.6%, CPU Time: 05:02
Memory: 125 MB, CPU Usage: 57.7%, CPU Time: 05:03
Memory: 125 MB, CPU Usage: 57.8%, CPU Time: 05:04
Memory: 125 MB, CPU Usage: 58.0%, CPU Time: 05:05
Memory: 126 MB, CPU Usage: 58.1%, CPU Time: 05:06
Memory: 126 MB, CPU Usage: 58.2%, CPU Time: 05:07
Memory: 125 MB, CPU Usage: 58.3%, CPU Time: 05:08
Memory: 125 MB, CPU Usage: 58.4%, CPU Time: 05:09
Memory: 125 MB, CPU Usage: 58.5%, CPU Time: 05:11
Memory: 126 MB, CPU Usage: 58.6%, CPU Time: 05:12
Memory: 126 MB, CPU Usage: 58.7%, CPU Time: 05:13
Memory: 126 MB, CPU Usage: 58.8%, CPU Time: 05:14
Memory: 126 MB, CPU Usage: 58.9%, CPU Time: 05:15
Memory: 127 MB, CPU Usage: 59.0%, CPU Time: 05:16
Memory: 127 MB, CPU Usage: 59.1%, CPU Time: 05:17
Memory: 126 MB, CPU Usage: 59.3%, CPU Time: 05:18
Memory: 126 MB, CPU Usage: 59.4%, CPU Time: 05:19
Memory: 126 MB, CPU Usage: 59.5%, CPU Time: 05:20
Memory: 126 MB, CPU Usage: 59.6%, CPU Time: 05:21
Memory: 126 MB, CPU Usage: 59.7%, CPU Time: 05:22
Memory: 126 MB, CPU Usage: 59.8%, CPU Time: 05:23
Memory: 126 MB, CPU Usage: 59.9%, CPU Time: 05:24
Memory: 126 MB, CPU Usage: 60.0%, CPU Time: 05:25
Memory: 126 MB, CPU Usage: 60.1%, CPU Time: 05:26
Memory: 126 MB, CPU Usage: 60.2%, CPU Time: 05:27
Memory: 126 MB, CPU Usage: 60.3%, CPU Time: 05:28
Memory: 126 MB, CPU Usage: 60.4%, CPU Time: 05:29
Memory: 126 MB, CPU Usage: 60.5%, CPU Time: 05:30
Memory: 126 MB, CPU Usage: 60.6%, CPU Time: 05:31
Memory: 126 MB, CPU Usage: 60.7%, CPU Time: 05:33
Memory: 126 MB, CPU Usage: 60.7%, CPU Time: 05:34
Memory: 127 MB, CPU Usage: 60.8%, CPU Time: 05:35
Memory: 126 MB, CPU Usage: 60.9%, CPU Time: 05:36
Memory: 127 MB, CPU Usage: 61.0%, CPU Time: 05:37
Memory: 126 MB, CPU Usage: 61.1%, CPU Time: 05:38
Memory: 126 MB, CPU Usage: 61.2%, CPU Time: 05:39
Memory: 126 MB, CPU Usage: 61.3%, CPU Time: 05:40
Memory: 126 MB, CPU Usage: 61.4%, CPU Time: 05:41
Memory: 126 MB, CPU Usage: 61.5%, CPU Time: 05:42
Memory: 126 MB, CPU Usage: 61.6%, CPU Time: 05:43
Memory: 127 MB, CPU Usage: 61.7%, CPU Time: 05:44
Memory: 128 MB, CPU Usage: 61.8%, CPU Time: 05:45
Memory: 128 MB, CPU Usage: 61.8%, CPU Time: 05:46
Memory: 127 MB, CPU Usage: 61.9%, CPU Time: 05:47
Memory: 127 MB, CPU Usage: 62.0%, CPU Time: 05:48
Memory: 127 MB, CPU Usage: 62.1%, CPU Time: 05:49
Memory: 127 MB, CPU Usage: 62.2%, CPU Time: 05:50
Memory: 127 MB, CPU Usage: 62.3%, CPU Time: 05:51
Memory: 127 MB, CPU Usage: 62.4%, CPU Time: 05:52
Memory: 128 MB, CPU Usage: 62.5%, CPU Time: 05:53
Memory: 127 MB, CPU Usage: 62.5%, CPU Time: 05:55
Memory: 127 MB, CPU Usage: 62.6%, CPU Time: 05:56
Memory: 127 MB, CPU Usage: 62.7%, CPU Time: 05:57
Memory: 127 MB, CPU Usage: 62.8%, CPU Time: 05:58
Memory: 127 MB, CPU Usage: 62.9%, CPU Time: 05:59
Memory: 127 MB, CPU Usage: 63.0%, CPU Time: 06:00
Memory: 127 MB, CPU Usage: 63.0%, CPU Time: 06:01
Memory: 128 MB, CPU Usage: 63.1%, CPU Time: 06:02
Memory: 127 MB, CPU Usage: 63.2%, CPU Time: 06:03
Memory: 127 MB, CPU Usage: 63.3%, CPU Time: 06:04
Memory: 127 MB, CPU Usage: 63.4%, CPU Time: 06:05
Memory: 128 MB, CPU Usage: 63.4%, CPU Time: 06:06
Memory: 127 MB, CPU Usage: 63.5%, CPU Time: 06:07
Memory: 127 MB, CPU Usage: 63.6%, CPU Time: 06:08
Memory: 127 MB, CPU Usage: 63.7%, CPU Time: 06:09
Memory: 127 MB, CPU Usage: 63.8%, CPU Time: 06:10
Memory: 128 MB, CPU Usage: 63.8%, CPU Time: 06:11
Memory: 127 MB, CPU Usage: 63.9%, CPU Time: 06:12
Memory: 127 MB, CPU Usage: 64.0%, CPU Time: 06:13
Memory: 128 MB, CPU Usage: 64.1%, CPU Time: 06:14
Memory: 127 MB, CPU Usage: 64.1%, CPU Time: 06:15
Memory: 128 MB, CPU Usage: 64.2%, CPU Time: 06:16
Memory: 128 MB, CPU Usage: 64.3%, CPU Time: 06:18
Memory: 128 MB, CPU Usage: 64.4%, CPU Time: 06:19
Memory: 129 MB, CPU Usage: 64.4%, CPU Time: 06:20
Memory: 128 MB, CPU Usage: 64.5%, CPU Time: 06:21
Memory: 128 MB, CPU Usage: 64.6%, CPU Time: 06:22
Memory: 128 MB, CPU Usage: 64.7%, CPU Time: 06:23
Memory: 128 MB, CPU Usage: 64.7%, CPU Time: 06:24
Memory: 128 MB, CPU Usage: 64.8%, CPU Time: 06:25
Memory: 128 MB, CPU Usage: 64.9%, CPU Time: 06:26
Memory: 128 MB, CPU Usage: 65.0%, CPU Time: 06:27
Memory: 128 MB, CPU Usage: 65.0%, CPU Time: 06:28
Memory: 128 MB, CPU Usage: 65.1%, CPU Time: 06:29
Memory: 128 MB, CPU Usage: 65.2%, CPU Time: 06:30
Memory: 128 MB, CPU Usage: 65.2%, CPU Time: 06:31
Memory: 128 MB, CPU Usage: 65.3%, CPU Time: 06:32
Memory: 127 MB, CPU Usage: 65.4%, CPU Time: 06:33
Memory: 128 MB, CPU Usage: 65.4%, CPU Time: 06:34
Memory: 129 MB, CPU Usage: 65.5%, CPU Time: 06:35
Memory: 128 MB, CPU Usage: 65.6%, CPU Time: 06:36
Memory: 128 MB, CPU Usage: 65.6%, CPU Time: 06:37
Memory: 128 MB, CPU Usage: 65.7%, CPU Time: 06:38
Memory: 129 MB, CPU Usage: 65.8%, CPU Time: 06:39
Memory: 128 MB, CPU Usage: 65.8%, CPU Time: 06:40
Memory: 129 MB, CPU Usage: 65.9%, CPU Time: 06:41
Memory: 129 MB, CPU Usage: 66.0%, CPU Time: 06:42
Memory: 128 MB, CPU Usage: 66.0%, CPU Time: 06:44
Memory: 128 MB, CPU Usage: 66.1%, CPU Time: 06:45
Memory: 128 MB, CPU Usage: 66.2%, CPU Time: 06:46
Memory: 129 MB, CPU Usage: 66.2%, CPU Time: 06:47
Memory: 128 MB, CPU Usage: 66.3%, CPU Time: 06:48
Memory: 129 MB, CPU Usage: 66.4%, CPU Time: 06:49
Memory: 129 MB, CPU Usage: 66.4%, CPU Time: 06:50
Memory: 129 MB, CPU Usage: 66.5%, CPU Time: 06:51
Memory: 129 MB, CPU Usage: 66.6%, CPU Time: 06:52
Memory: 127 MB, CPU Usage: 66.6%, CPU Time: 06:53
Memory: 129 MB, CPU Usage: 66.7%, CPU Time: 06:54
Memory: 129 MB, CPU Usage: 66.8%, CPU Time: 06:55
Memory: 129 MB, CPU Usage: 66.8%, CPU Time: 06:56
Memory: 129 MB, CPU Usage: 66.9%, CPU Time: 06:57
Memory: 129 MB, CPU Usage: 66.9%, CPU Time: 06:58
Memory: 130 MB, CPU Usage: 67.0%, CPU Time: 06:59
Memory: 129 MB, CPU Usage: 67.1%, CPU Time: 07:00
Memory: 129 MB, CPU Usage: 67.1%, CPU Time: 07:01
Memory: 129 MB, CPU Usage: 67.2%, CPU Time: 07:02
Memory: 129 MB, CPU Usage: 67.2%, CPU Time: 07:03
Memory: 129 MB, CPU Usage: 67.3%, CPU Time: 07:04
Memory: 129 MB, CPU Usage: 67.4%, CPU Time: 07:05
Memory: 129 MB, CPU Usage: 67.4%, CPU Time: 07:06
Memory: 129 MB, CPU Usage: 67.5%, CPU Time: 07:07
Memory: 129 MB, CPU Usage: 67.5%, CPU Time: 07:08
Memory: 129 MB, CPU Usage: 67.6%, CPU Time: 07:10
Memory: 129 MB, CPU Usage: 67.6%, CPU Time: 07:11
Memory: 129 MB, CPU Usage: 67.7%, CPU Time: 07:12
Memory: 129 MB, CPU Usage: 67.8%, CPU Time: 07:13
Memory: 129 MB, CPU Usage: 67.8%, CPU Time: 07:14
Memory: 129 MB, CPU Usage: 67.9%, CPU Time: 07:15
Memory: 129 MB, CPU Usage: 67.9%, CPU Time: 07:16
Memory: 129 MB, CPU Usage: 68.0%, CPU Time: 07:17
Memory: 129 MB, CPU Usage: 68.0%, CPU Time: 07:18
Memory: 129 MB, CPU Usage: 68.1%, CPU Time: 07:19
Memory: 129 MB, CPU Usage: 68.2%, CPU Time: 07:20
Memory: 129 MB, CPU Usage: 68.2%, CPU Time: 07:21
Memory: 130 MB, CPU Usage: 68.3%, CPU Time: 07:22
